id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
29;sotu;requests;1566732062.1567233;-0.5720818042755127;https://millercenter.org/the-presidency/presidential-speeches/january-29-1991-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-29-1991-state-union-address;81249;200;True;
30;sotu;requests;1566732063.334312;-0.6076922416687012;https://millercenter.org/the-presidency/presidential-speeches/january-31-1990-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-31-1990-state-union-address;79709;200;True;
31;sotu;requests;1566732064.5482442;-0.6590712070465088;https://millercenter.org/the-presidency/presidential-speeches/january-20-1989-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1989-inaugural-address;70374;200;True;
32;sotu;requests;1566732065.8126285;-0.657526969909668;https://millercenter.org/the-presidency/presidential-speeches/january-25-1988-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-25-1988-state-union-address;84339;200;True;
33;sotu;requests;1566732067.0700576;-0.5646917819976807;https://millercenter.org/the-presidency/presidential-speeches/january-27-1987-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-27-1987-state-union-address;80184;200;True;
34;sotu;requests;1566732068.235958;-0.5739729404449463;https://millercenter.org/the-presidency/presidential-speeches/february-4-1986-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/february-4-1986-state-union-address;78380;200;True;
35;sotu;requests;1566732069.40944;-0.5732400417327881;https://millercenter.org/the-presidency/presidential-speeches/february-6-1985-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/february-6-1985-state-union-address;83535;200;True;
36;sotu;requests;1566732070.5940905;-0.6696710586547852;https://millercenter.org/the-presidency/presidential-speeches/january-21-1985-second-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-21-1985-second-inaugural-address;72775;200;True;
37;sotu;requests;1566732071.8659477;-0.7113854885101318;https://millercenter.org/the-presidency/presidential-speeches/january-25-1984-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-25-1984-state-union-address;87963;200;True;
38;sotu;requests;1566732073.185913;-0.5795867443084717;https://millercenter.org/the-presidency/presidential-speeches/january-25-1983-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-25-1983-state-union-address;91616;200;True;
39;sotu;requests;1566732074.3684852;-0.6961777210235596;https://millercenter.org/the-presidency/presidential-speeches/january-26-1982-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-26-1982-state-union-address;89370;200;True;
40;sotu;requests;1566732075.670333;-0.6173739433288574;https://millercenter.org/the-presidency/presidential-speeches/december-6-1981-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1981-first-annual-message;134491;200;True;
41;sotu;requests;1566732076.9225938;-0.7644374370574951;https://millercenter.org/the-presidency/presidential-speeches/january-20-1981-first-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1981-first-inaugural-address;71939;200;True;
42;sotu;requests;1566732078.2835953;-0.5567464828491211;https://millercenter.org/the-presidency/presidential-speeches/january-23-1980-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-23-1980-state-union-address;75624;200;True;
43;sotu;requests;1566732079.4355245;-0.5197737216949463;https://millercenter.org/the-presidency/presidential-speeches/january-23-1979-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-23-1979-state-union-address;76359;200;True;
44;sotu;requests;1566732080.560465;-0.6927447319030762;https://millercenter.org/the-presidency/presidential-speeches/january-19-1978-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-19-1978-state-union-address;85393;200;True;
45;sotu;requests;1566732082.078498;-0.6608576774597168;https://millercenter.org/the-presidency/presidential-speeches/january-20-1977-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1977-inaugural-address;65138;200;True;
46;sotu;requests;1566732083.356215;-0.599999189376831;https://millercenter.org/the-presidency/presidential-speeches/january-12-1977-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-12-1977-state-union-address;80962;200;True;
47;sotu;requests;1566732084.7002122;-0.6190032958984375;https://millercenter.org/the-presidency/presidential-speeches/january-19-1976-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-19-1976-state-union-address;84121;200;True;
48;sotu;requests;1566732085.9589872;-1.002845048904419;https://millercenter.org/the-presidency/presidential-speeches/january-15-1975-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-15-1975-state-union-address;82064;200;True;
49;sotu;requests;1566732087.6278048;-0.5333998203277588;https://millercenter.org/the-presidency/presidential-speeches/january-30-1974-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-30-1974-state-union-address;84892;200;True;
50;sotu;requests;1566732088.765426;-0.6116006374359131;https://millercenter.org/the-presidency/presidential-speeches/january-20-1973-second-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1973-second-inaugural-address;67747;200;True;
51;sotu;requests;1566732089.9784024;-0.627436637878418;https://millercenter.org/the-presidency/presidential-speeches/january-20-1972-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1972-state-union-address;82841;200;True;
52;sotu;requests;1566732091.244841;-0.607830286026001;https://millercenter.org/the-presidency/presidential-speeches/january-22-1971-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-22-1971-state-union-address;85657;200;True;
53;sotu;requests;1566732092.4731061;-0.6747145652770996;https://millercenter.org/the-presidency/presidential-speeches/january-22-1970-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-22-1970-state-union-address;85268;200;True;
54;sotu;requests;1566732093.7861733;-3.0823585987091064;https://millercenter.org/the-presidency/presidential-speeches/january-20-1969-first-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1969-first-inaugural-address;70222;200;True;
55;sotu;requests;1566732097.4768455;-1.8189811706542969;https://millercenter.org/the-presidency/presidential-speeches/january-14-1969-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-14-1969-state-union-address;101038;200;True;
56;sotu;requests;1566732099.9010696;-1.626051664352417;https://millercenter.org/the-presidency/presidential-speeches/january-17-1968-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-17-1968-state-union-address;116848;200;True;
57;sotu;requests;1566732102.1832712;-1.8678343296051025;https://millercenter.org/the-presidency/presidential-speeches/january-10-1967-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-10-1967-state-union-address;144059;200;True;
58;sotu;requests;1566732104.6835706;-2.5707788467407227;https://millercenter.org/the-presidency/presidential-speeches/january-20-1965-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1965-inaugural-address;66256;200;True;
59;sotu;requests;1566732107.8416803;-1.447096347808838;https://millercenter.org/the-presidency/presidential-speeches/january-14-1963-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-14-1963-state-union-address;89345;200;True;
60;sotu;requests;1566732109.9025936;-1.3398430347442627;https://millercenter.org/the-presidency/presidential-speeches/january-11-1962-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-11-1962-state-union-address;97425;200;True;
61;sotu;requests;1566732111.8988197;-2.702178716659546;https://millercenter.org/the-presidency/presidential-speeches/january-20-1961-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1961-inaugural-address;65617;200;True;
62;sotu;requests;1566732115.1932037;-1.2447857856750488;https://millercenter.org/the-presidency/presidential-speeches/january-20-1953-first-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1953-first-inaugural-address;67382;200;True;
63;sotu;requests;1566732117.0426764;-1.0381543636322021;https://millercenter.org/the-presidency/presidential-speeches/january-20-1949-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1949-inaugural-address;67484;200;True;
64;sotu;requests;1566732118.7005522;-1.6106231212615967;https://millercenter.org/the-presidency/presidential-speeches/january-20-1945-fourth-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1945-fourth-inaugural-address;55089;200;True;
65;sotu;requests;1566732120.896433;-1.0302400588989258;https://millercenter.org/the-presidency/presidential-speeches/january-7-1943-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/january-7-1943-state-union-address;83515;200;True;
66;sotu;requests;1566732122.5354764;-1.8185968399047852;https://millercenter.org/the-presidency/presidential-speeches/january-20-1941-third-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1941-third-inaugural-address;63714;200;True;
67;sotu;requests;1566732124.953558;-0.8991401195526123;https://millercenter.org/the-presidency/presidential-speeches/january-20-1937-second-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/january-20-1937-second-inaugural-address;66711;200;True;
68;sotu;requests;1566732126.45025;-1.1945316791534424;https://millercenter.org/the-presidency/presidential-speeches/march-4-1933-first-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1933-first-inaugural-address;66866;200;True;
